ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5741943,HN549294,8/25/07 9:22,074XX N ROGERS AVE,560,ASSAULT,SIMPLE,OTHER,False,False,2422,24,49.0,1.0,08A,1186953.0,1850974.0,2007,8/17/15 15:03,41.74590509,-87.58983438,"(41.745905086, -87.549141439)"
25953,JE240540,5/24/21 15:06,020XX N LARAMIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2515,25,36.0,19.0,01A,1141387.0,1913179.0,2021,11/18/23 15:39,41.91783806,-87.75596897,"(41.917838056, -87.755968972)"
26038,JE279849,6/26/21 9:24,062XX N MC CORMICK RD,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,True,False,1711,17,50.0,13.0,01A,1152781.0,1941458.0,2021,11/18/23 15:39,41.99521944,-87.71335491,"(41.995219444, -87.713354912)"
13279676,JG507211,11/9/23 7:30,019XX W BYRON ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1922,19,47.0,5.0,5,1162518.0,1925906.0,2023,11/18/23 15:39,41.95234509,-87.67797506,"(41.952345086, -87.677975059)"
13274752,JG501049,11/12/23 7:59,086XX S COTTAGE GROVE AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SMALL RETAIL STORE,True,False,632,6,6.0,44.0,08B,1183071.0,1847869.0,2023,12/9/23 15:41,41.73775077,-87.60485591,"(41.737750767, -87.604855911)"
1930689,HH109118,1/5/02 21:24,007XX E 103 ST,820,THEFT,$500 AND UNDER,GAS STATION,True,False,512,5,4.0,25.0,6,1186953.0,1850974.0,2002,2/4/16 6:33,41.74590509,-87.58983438,"(41.745905086, -87.549141439)"
13203321,JG415333,9/6/23 17:00,002XX N Wells st,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,122,1,42.0,32.0,14,1174694.0,1901831.0,2023,11/4/23 15:40,41.88601806,-87.63393788,"(41.886018055, -87.633937881)"
13210088,JG423627,8/31/23 12:00,023XX W JACKSON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,False,False,1225,12,27.0,28.0,11,1160870.0,1898642.0,2023,9/16/23 15:41,41.87756511,-87.68479102,"(41.877565108, -87.68479102)"
13210004,JG422532,7/24/23 21:45,073XX S JEFFERY BLVD,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,333,3,7.0,43.0,2,1190812.0,1856743.0,2023,9/16/23 15:41,41.7619185,-87.57620925,"(41.7619185, -87.576209245)"
13210062,JG423596,8/27/23 7:00,034XX N LAWNDALE AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,False,1732,17,30.0,21.0,6,1151117.0,1922554.0,2023,9/16/23 15:41,41.94337853,-87.7199738,"(41.943378528, -87.7199738)"
13210107,JG411849,9/4/23 21:30,053XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,822,8,14.0,63.0,14,1154617.0,1869046.0,2023,9/16/23 15:41,41.79647741,-87.70854092,"(41.796477414, -87.708540915)"
13210060,JG423567,8/15/23 14:20,077XX S SPAULDING AVE,810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,835,8,18.0,70.0,6,1155724.0,1853097.0,2023,9/16/23 15:41,41.7526888,-87.70490879,"(41.752688801, -87.704908791)"
13210120,JG423499,7/24/23 16:09,002XX W 75TH ST,1120,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,False,False,731,7,6.0,69.0,10,1175716.0,1855233.0,2023,9/16/23 15:41,41.75812617,-87.63158251,"(41.758126171, -87.631582508)"
13210071,JG421086,9/3/23 10:27,089XX S LOOMIS ST,890,THEFT,FROM BUILDING,APARTMENT,False,False,2222,22,21.0,73.0,6,1168564.0,1845472.0,2023,9/16/23 15:41,41.73149773,-87.65807457,"(41.731497731, -87.658074565)"
13210035,JG422370,8/17/23 7:00,019XX W 71ST ST,820,THEFT,$500 AND UNDER,STREET,False,False,735,7,17.0,67.0,6,1164749.0,1857588.0,2023,9/16/23 15:41,41.76482708,-87.67170912,"(41.764827083, -87.671709119)"
13210008,JG422517,8/24/23 14:27,031XX S WALLACE ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,False,False,915,9,11.0,60.0,11,1172803.0,1884190.0,2023,9/16/23 15:41,41.83765193,-87.64140409,"(41.837651929, -87.641404086)"
13210072,JG422242,8/11/23 11:00,0000X S ALBANY AVE,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,RESIDENCE,False,True,1124,11,28.0,27.0,26,1155914.0,1899709.0,2023,9/16/23 15:41,41.88059439,-87.70295942,"(41.880594385, -87.702959421)"
13278080,JG500620,11/11/23 0:00,038XX W MADISON ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1122,11,28.0,26.0,7,1150898.0,1899740.0,2023,11/18/23 15:40,41.88077908,-87.72137703,"(41.880779076, -87.721377025)"
